image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,n_HistANG,n_HistLEN,n_HistSTR,n_HistWID,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth_HistANG,z_depth_HistLEN,z_depth_HistSTR,z_depth_HistWID,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,Unnamed: 13,Unnamed: 14,concentration_asmmean.,concentration_contrastmean.,concentration_correlationmean.,concentration_dissimilaritymean.,concentration_glcmmeanmean.,concentration_glcmvariancemean.,concentration_homogeneitymean.,type_asmmean.,type_contrastmean.,type_correlationmean.,type_dissimilaritymean.,type_glcmmeanmean.,type_glcmvariancemean.,type_homogeneitymean.,roi_asmmean.,roi_contrastmean.,roi_correlationmean.,roi_dissimilaritymean.,roi_glcmmeanmean.,roi_glcmvariancemean.,roi_homogeneitymean.,texture_mean_asmmean.,texture_mean_contrastmean.,texture_mean_correlationmean.,texture_mean_dissimilaritymean.,texture_mean_glcmmeanmean.,texture_mean_glcmvariancemean.,texture_mean_homogeneitymean.,texture_median_asmmean.,texture_median_contrastmean.,texture_median_correlationmean.,texture_median_dissimilaritymean.,texture_median_glcmmeanmean.,texture_median_glcmvariancemean.,texture_median_homogeneitymean.,texture_std_asmmean.,texture_std_contrastmean.,texture_std_correlationmean.,texture_std_dissimilaritymean.,texture_std_glcmmeanmean.,texture_std_glcmvariancemean.,texture_std_homogeneitymean.,concentration_3D,type_3D,roi_3D,texture3d_mean_3D,texture3d_median_3D,texture3d_std_3D,distance3d_3D,neighbor3d_3D,bin_num3d_3D
appliedMASKiso_flu_1mgml_roi1_8bit.ome,1,67.73730588,62.71588235,0.914933529,3.880352941,69.444,44.395,0.91865,3.6728,17.0,17.0,17.0,17.0,47.14118627,36.03834439,0.046700007,0.7472079,1.0,1.0,1.0,1.0,2449.0,51.521,2041.0,57.0,35.807,13.0,1.1355,0.0154,0.0713,0.1884,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.5718469023704529,1512.60546875,0.3811401128768921,16.861454010009766,18.80333137512207,1377.791748046875,0.7421145439147949,0.551433801651001,1552.3660888671875,0.42177337408065796,17.11932945251465,17.495370864868164,1465.5196533203125,0.7503404021263123,0.26371675729751587,928.6878662109375,0.16528278589248657,10.465581893920898,14.549532890319824,904.4402465820312,0.1783740371465683,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,2,74.95613077,63.34969231,0.927725385,4.282923077,73.009,39.402,0.93416,4.4899,13.0,13.0,13.0,13.0,59.75645637,57.00510807,0.035414414,0.837649535,2.0,2.0,2.0,2.0,2483.0,50.7882,2072.0,63.0,32.8889,10.0,1.1374,0.016,0.0773,0.2058,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.5699909329414368,1495.1143798828125,0.39228662848472595,16.754499435424805,18.614742279052734,1409.7501220703125,0.7443506121635437,0.5369768738746643,1595.3951416015625,0.4192255735397339,17.798158645629883,17.933868408203125,1537.706298828125,0.7409482002258301,0.25109463930130005,883.594482421875,0.1823042929172516,9.934587478637695,13.21251106262207,887.542236328125,0.16449704766273499,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,3,80.1425625,69.0845,0.9057725,3.673225,71.5825,49.742,0.91636,3.60335,16.0,16.0,16.0,16.0,58.08042262,49.00142506,0.046210994,0.647384291,3.0,3.0,3.0,3.0,2483.0,50.7882,2024.0,52.0,38.9231,6.0,1.1559,0.0114,0.0776,0.3025,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.5617361068725586,1532.3458251953125,0.4177723526954651,17.06720542907715,19.59477996826172,1500.3358154296875,0.7384406328201294,0.536907970905304,1641.140380859375,0.4362594485282898,18.065832138061523,18.623865127563477,1560.380859375,0.7415887713432312,0.2540096640586853,892.9337768554688,0.16702398657798767,10.020849227905273,13.975598335266113,963.46923828125,0.16729578375816345,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,4,92.58478947,64.56905263,0.920207895,3.546994737,72.474,42.649,0.92731,3.3243,19.0,19.0,19.0,19.0,54.92307952,45.56400133,0.032068675,0.839712847,4.0,4.0,4.0,4.0,2550.0,49.4012,2116.0,54.0,39.1852,13.0,1.1654,0.0218,0.0881,0.2358,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.5282473564147949,1602.6353759765625,0.4091888666152954,18.07465171813965,22.19732666015625,1532.651123046875,0.7080161571502686,0.5080805420875549,1671.5908203125,0.4460097849369049,18.619415283203125,18.92409896850586,1497.3056640625,0.7226189374923706,0.2811092734336853,953.1524658203125,0.1567012369632721,10.90353775024414,17.19061279296875,1000.5930786132812,0.1983109563589096,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,5,97.94117647,67.14570588,0.936208235,3.885782353,83.418,60.63,0.93766,3.9044,17.0,17.0,17.0,17.0,60.95673614,26.00164229,0.024448993,0.826736693,5.0,5.0,5.0,5.0,2505.0,50.3245,2087.0,61.0,34.2131,7.0,1.1635,0.0202,0.0816,0.2097,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.5389952063560486,1530.9210205078125,0.40511226654052734,17.346834182739258,22.47087287902832,1508.930908203125,0.7123817801475525,0.5623049736022949,1518.7535400390625,0.4587175250053406,16.821779251098633,16.40779685974121,1361.020263671875,0.7576504349708557,0.290166974067688,907.0133056640625,0.164667546749115,10.547401428222656,19.00752830505371,1046.2073974609375,0.20865559577941895,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,6,80.59838889,57.62216667,0.91254,3.577977778,67.4595,46.836,0.919615,3.2604,18.0,18.0,18.0,18.0,57.46448654,30.64712575,0.029521195,0.909213493,6.0,6.0,6.0,6.0,2110.0,60.1199,1797.0,52.0,34.5577,11.0,1.1255,0.0121,0.0701,0.1364,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.5690051913261414,1490.4923095703125,0.38614362478256226,16.691617965698242,20.58197784423828,1473.8897705078125,0.735591471195221,0.5979028344154358,1436.6845703125,0.4055060148239136,15.67497444152832,14.473482131958008,1222.6982421875,0.7801027297973633,0.27888837456703186,899.7149658203125,0.17397251725196838,10.378243446350098,18.257848739624023,1102.841064453125,0.1966414600610733,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,7,87.64923529,55.87447059,0.924927647,3.987570588,84.289,52.146,0.9272,4.0259,17.0,17.0,17.0,17.0,54.78716433,25.42836708,0.043245273,0.762292419,7.0,7.0,7.0,7.0,2059.0,61.6586,1787.0,57.0,31.3509,12.0,1.1191,0.0091,0.0669,0.03719,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.6100049018859863,1378.8990478515625,0.3755158483982086,15.34386920928955,17.82114601135254,1338.1962890625,0.7657042741775513,0.6390222311019897,1310.72119140625,0.3859907388687134,14.264581680297852,12.390229225158691,1068.370849609375,0.804791271686554,0.26356783509254456,883.1058959960938,0.17341643571853638,10.144449234008789,16.617778778076172,1060.9591064453125,0.18286901712417603,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,8,88.548925,57.924375,0.9295575,3.901325,89.2045,47.264,0.940735,3.83385,16.0,16.0,16.0,16.0,59.37067554,33.8215855,0.041987953,1.064372918,8.0,8.0,8.0,8.0,2474.0,50.9802,2091.0,66.0,31.6818,11.0,1.1483,0.0105,0.0782,0.0408,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.6239448189735413,1275.6195068359375,0.3652220368385315,14.378748893737793,16.48626708984375,1219.7120361328125,0.7770063281059265,0.6631903052330017,1163.030517578125,0.3622616231441498,12.92228889465332,11.861687660217285,1023.6016235351562,0.8201189637184143,0.2522353529930115,809.7385864257812,0.1877683848142624,9.36075210571289,15.461206436157227,949.3736572265625,0.17375388741493225,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,9,73.32339286,70.95042857,0.929759286,4.046571429,66.0435,47.372,0.938975,4.2574,14.0,14.0,14.0,14.0,47.84724966,54.15801528,0.02700396,0.946856368,9.0,9.0,9.0,9.0,2658.0,47.3126,2226.0,56.0,39.75,10.0,1.1601,0.0149,0.0793,0.04085,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.6312187910079956,1237.208984375,0.39179471135139465,13.909839630126953,16.183765411376953,1232.6844482421875,0.7835348844528198,0.6623696088790894,1163.967529296875,0.40546712279319763,12.940683364868164,12.095304489135742,1052.145751953125,0.8194568753242493,0.24244610965251923,762.6889038085938,0.18925169110298157,8.792194366455078,14.6419677734375,930.8192749023438,0.16459444165229797,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,10,91.24486667,63.36125,0.925514167,3.547808333,84.1705,42.8295,0.92488,3.48125,12.0,12.0,12.0,12.0,45.75026895,40.71912419,0.033719831,0.829800719,10.0,10.0,10.0,10.0,2016.0,63.0164,1666.0,48.0,34.7083,7.0,1.0931,0.0109,0.0577,0.01451,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.7040688395500183,1026.97705078125,0.44815659523010254,11.05026626586914,13.254364013671875,1135.5418701171875,0.8325242400169373,0.7612850666046143,857.5264282226562,0.5206640958786011,9.043606758117676,9.131647109985352,887.4544067382812,0.8762873411178589,0.21720363199710846,724.3016357421875,0.19010837376117706,7.955015659332275,12.406903266906738,913.5037841796875,0.13884331285953522,,,,,,,,,
