image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,n_HistWID,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth_HistWID,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,texture_mean_asmmean.,texture_mean_contrastmean.,texture_mean_correlationmean.,texture_mean_dissimilaritymean.,texture_mean_glcmmeanmean.,texture_mean_glcmvariancemean.,texture_mean_homogeneitymean.,texture_median_asmmean.,texture_median_contrastmean.,texture_median_correlationmean.,texture_median_dissimilaritymean.,texture_median_glcmmeanmean.,texture_median_glcmvariancemean.,texture_median_homogeneitymean.,texture_std_asmmean.,texture_std_contrastmean.,texture_std_correlationmean.,texture_std_dissimilaritymean.,texture_std_glcmmeanmean.,texture_std_glcmvariancemean.,texture_std_homogeneitymean.,concentration_denth,type_inf2h,roi_maxpr,texture3d_mean_autoc,texture3d_mean_contr,texture3d_mean_corrm,texture3d_mean_corrp,texture3d_mean_cprom,texture3d_mean_cshad,texture3d_mean_denth,texture3d_mean_dissi,texture3d_mean_dvarh,texture3d_mean_energ,texture3d_mean_entro,texture3d_mean_homom,texture3d_mean_homop,texture3d_mean_idmnc,texture3d_mean_indnc,texture3d_mean_inf1h,texture3d_mean_inf2h,texture3d_mean_maxpr,texture3d_mean_savgh,texture3d_mean_senth,texture3d_mean_sosvh,texture3d_mean_svarh,texture3d_median_autoc,texture3d_median_contr,texture3d_median_corrm,texture3d_median_corrp,texture3d_median_cprom,texture3d_median_cshad,texture3d_median_denth,texture3d_median_dissi,texture3d_median_dvarh,texture3d_median_energ,texture3d_median_entro,texture3d_median_homom,texture3d_median_homop,texture3d_median_idmnc,texture3d_median_indnc,texture3d_median_inf1h,texture3d_median_inf2h,texture3d_median_maxpr,texture3d_median_savgh,texture3d_median_senth,texture3d_median_sosvh,texture3d_median_svarh,texture3d_std_autoc,texture3d_std_contr,texture3d_std_corrm,texture3d_std_corrp,texture3d_std_cprom,texture3d_std_cshad,texture3d_std_denth,texture3d_std_dissi,texture3d_std_dvarh,texture3d_std_energ,texture3d_std_entro,texture3d_std_homom,texture3d_std_homop,texture3d_std_idmnc,texture3d_std_indnc,texture3d_std_inf1h,texture3d_std_inf2h,texture3d_std_maxpr,texture3d_std_savgh,texture3d_std_senth,texture3d_std_sosvh,texture3d_std_svarh,distance3d_maxpr,neighbor3d_corrp,bin_num3d_cprom,short_image_name
appliedMASKiso_shg_1mgml_roi1_8bit.ome,1,77.56147059,57.35164706,0.928797059,3.853052941,73.811,53.993,0.93895,3.7951,17.0,45.06159014,22.79568618,0.031634956,0.6860879,1.0,1835,69.4294,1565,26,60.1923,10,1.1033,0.021,0.0071,0.2031,131072,0.5712404847145081,278.93121337890625,0.35822567343711853,7.517390727996826,7.564780235290527,242.99171447753906,0.7403808236122131,0.5509593486785889,279.6763000488281,0.40046608448028564,7.398016929626465,6.875381946563721,242.169677734375,0.7495817542076111,0.2641492784023285,179.22633361816406,0.1517079621553421,4.8865509033203125,5.912891387939453,168.1574249267578,0.1796254962682724,1mgml,shg,roi1,9717.87109542148,2618.9189257344597,20695.83031463623,9348.744552612305,66.95563139931741,10169.102569580078,17139.307779599043,7601.630437523641,2618.9189257344597,46865.99475823706,11979.728029252301,59648.55166880616,59612.713735558405,65343.48053059478,64212.884788189986,65397.42997741699,7278.657991377934,52693.42800599059,25484.265083440307,14308.192661707224,8565.955605477107,11855.93078733419,9108.0,1875.0,20628.0,9344.0,30.0,10157.0,17062.0,5641.0,1875.0,50504.5,10376.0,61450.5,61446.0,65407.5,64625.0,65535.0,5971.0,57202.5,24749.0,12687.0,7769.0,11723.0,1576.732668719798,2283.6788209189494,1262.6391920201793,287.77463876229916,100.34364883129778,73.01347033730873,8602.365372558266,6287.607869066317,2283.6788209189494,15879.623270768021,7934.807266602876,5775.250468999548,5835.781151835068,197.69721402028657,1307.4017295810165,964.815367305099,5484.282812981425,12986.75205616016,1961.684075693321,8741.481168990558,1884.334290823643,1224.4169084706236,D1,N2,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,2,65.43718,56.57813333,0.912439333,4.164966667,56.889,41.171,0.92234,4.2963,15.0,49.09853654,35.38051191,0.045654978,0.744067029,2.0,1819,70.0577,1528,34,44.9412,11,1.1172,0.0264,0.0078,0.2154,131072,0.5693814158439636,272.89202880859375,0.36722156405448914,7.419185638427734,7.442600727081299,243.0628204345703,0.7425922155380249,0.5364512205123901,278.81951904296875,0.4072006642818451,7.600028038024902,6.951449871063232,243.89120483398438,0.7399997711181641,0.25150245428085327,167.03109741210938,0.1629301905632019,4.559398651123047,5.380958080291748,162.2222900390625,0.16575893759727478,1mgml,shg,roi1,9748.36082881105,2617.4965687928902,20740.66387939453,9349.088882446289,72.61539328375028,10172.484718322754,17517.459444256947,7602.305433682079,2617.4965687928902,45671.41440552541,12410.024074699066,59447.855550074004,59411.41854958066,65337.118204242724,64168.03700049334,65363.22692871094,7425.205906258467,51978.2177602368,25526.450814010852,14755.337270784115,8591.590823877652,11717.69866798224,9197.0,1971.0,20628.0,9344.0,35.0,10157.0,17566.0,5912.0,1971.0,48596.0,10999.0,60906.0,60900.0,65391.0,64505.0,65535.0,5954.0,56030.0,24867.0,13430.0,7877.0,11572.0,1482.3030359626796,2149.690468294792,1455.809071100131,278.41731273652744,108.4018602306883,85.25410480140468,8313.053516724387,5934.740228302067,2149.690468294792,15630.267703220763,7794.477050185235,5498.102415913892,5555.3836279705565,187.87496350845194,1244.5500615723438,1169.9178928949093,5873.5040121083,12762.346576371145,1850.4150863612542,8567.21679421923,1741.217840264881,1102.6407575141723,D1,N2,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,3,85.41502667,64.0744,0.925656,3.697413333,72.979,54.229,0.93036,3.5555,15.0,57.06552519,42.26531882,0.028040476,0.84301276,3.0,1973,64.4333,1630,36,45.2778,7,1.1328,0.0139,0.0085,0.2763,131072,0.5612151622772217,285.431884765625,0.3884746730327606,7.629732131958008,7.846242427825928,258.0496520996094,0.7367360591888428,0.5364053845405579,289.6483154296875,0.4099445044994354,7.747772216796875,7.165217399597168,253.3588409423828,0.7400957345962524,0.2543448507785797,174.5294189453125,0.14744338393211365,4.665472507476807,5.656328201293945,170.1190948486328,0.16834165155887604,1mgml,shg,roi1,9855.423110936425,2719.978618244332,20782.86660003662,9349.719833374023,80.8222628915922,10175.002876281738,18130.772644246266,7892.670785430321,2719.978618244332,43847.69696374177,12975.2474481573,58947.66797681045,58907.332514493464,65320.60096295569,64055.36828141889,65331.25495147705,7835.949116161616,50732.16979463496,25664.870885329667,15412.821747072096,8712.272673675936,11605.277684975927,9322.0,2186.0,20628.0,9344.0,41.0,10157.0,18670.0,6531.0,2186.0,45994.0,11932.0,60184.0,60165.0,65367.0,64341.0,65535.0,6057.0,54360.0,25038.0,14485.0,8012.0,11445.0,1464.5603484514038,2119.045362208753,1633.647955456845,276.7934002530658,133.8371075570814,99.28254269643031,8094.416385800984,5798.949323656054,2119.045362208753,15346.496619432915,7680.464348325671,5375.046980698667,5435.039181882221,185.60532003328953,1218.3265439204831,1367.9615090607103,6361.52786298838,12645.756611704179,1821.5945101295508,8441.181367030014,1740.5617414561953,1061.198263415253,D1,N2,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,4,84.4317619,62.78057143,0.920319524,3.334738095,70.641,42.649,0.92973,3.2341,21.0,53.13563715,40.46656798,0.042736944,0.712637397,4.0,2123,59.7395,1712,29,59.0345,12,1.1437,0.0168,0.0099,0.2533,131072,0.5276640057563782,307.93377685546875,0.3888852596282959,8.297073364257812,9.052070617675781,277.92852783203125,0.7063153982162476,0.5073592066764832,310.1492614746094,0.4258984625339508,8.28717041015625,7.645534515380859,264.664794921875,0.720564067363739,0.2814992368221283,193.56251525878906,0.14424653351306915,5.252338409423828,7.0278639793396,185.54348754882812,0.19905930757522583,1mgml,shg,roi1,9891.69413903558,2805.4872383137367,20812.45147705078,9349.533210754395,88.15853425181784,10178.301856994629,18431.24165949718,8144.722588662652,2805.4872383137367,43562.371396415896,13252.536946754612,58801.83317461691,58761.3791879491,65316.01428447753,64022.8538654662,65295.57797241211,8124.127705382436,50458.09072807549,25710.419357631374,15736.516107446707,8761.310362739157,11619.171413730413,9366.0,2246.0,20628.0,9344.0,44.0,10157.0,18934.0,6722.0,2246.0,45466.0,12247.0,60029.0,60015.0,65363.0,64308.0,65535.0,6238.0,53979.0,25094.0,14889.0,8038.0,11439.0,1484.114934501336,2159.4392835774834,1797.215175224714,252.41533477909087,176.31822309919232,120.71392814304174,8017.1719522025305,5906.78994628631,2159.4392835774834,15441.521847883972,7679.74625976499,5502.097123232825,5561.119403743782,189.690062614843,1246.3583910611264,1560.826984719723,6650.284558397283,12794.187145718588,1842.739578894866,8429.117553355149,1787.19014905901,1077.6772299634604,D1,N2,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,5,96.94535294,61.07770588,0.931061176,3.933464706,84.943,53.234,0.94012,3.7398,17.0,61.09637033,26.61193174,0.03716963,0.855000476,5.0,1940,65.5634,1630,27,60.3704,7,1.1025,0.0225,0.01,0.2186,131072,0.5385096669197083,298.7470397949219,0.3946996331214905,8.10673999786377,9.271995544433594,283.89801025390625,0.7104666233062744,0.5617664456367493,282.5926513671875,0.44817861914634705,7.484583377838135,6.825237274169922,254.88087463378906,0.7557056546211243,0.29044923186302185,191.66587829589844,0.15381963551044464,5.302293300628662,7.848381996154785,202.8706817626953,0.20945954322814941,1mgml,shg,roi1,9993.830294530155,2965.511876606684,20811.404037475586,9349.63102722168,98.61967483021198,10178.240211486816,19095.030642673522,8578.289151670951,2965.511876606684,42418.52566619916,13892.94293059126,58423.73950444133,58377.37410004675,65302.655913978495,63936.509116409536,65307.91263580322,8299.120441988951,49491.507059373536,25834.95156615241,16427.6335218509,8863.551098644226,11599.599532491819,9456.0,2410.0,20628.0,9344.0,50.0,10157.0,19689.0,7204.0,2410.0,43766.0,13067.0,59594.0,59571.0,65348.0,64207.0,65535.0,6367.0,52857.0,25215.0,15772.0,8133.0,11407.0,1565.3980184134605,2179.6418134993132,1783.4043188563717,247.620975555861,198.45938741774458,123.9449338757481,7965.6149401855855,5958.836279143397,2179.6418134993132,15621.495123456174,7812.399943556387,5577.400448950496,5639.183136447859,192.57405993884936,1264.1673843957904,1539.2739753747926,6829.151287740426,13162.769336468271,1923.9847775164765,8522.68538418054,1853.393663722813,1077.9346356820345,D1,N2,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,6,95.73346667,62.25933333,0.902843333,3.365026667,83.66,55.286,0.91149,3.329,15.0,62.46332999,36.33842267,0.032163602,0.543705642,6.0,1495,85.6742,1254,31,40.4516,9,1.1196,0.0174,0.009,0.2422,131072,0.568518340587616,286.1650390625,0.37833425402641296,7.670465469360352,8.507622718811035,278.6684875488281,0.7336346507072449,0.5975121855735779,260.14556884765625,0.3979262113571167,6.868701934814453,5.917548656463623,220.04409790039062,0.7781043648719788,0.2791861891746521,188.05923461914062,0.16897577047348022,5.150852203369141,7.621565341949463,220.5135498046875,0.1978456676006317,1mgml,shg,roi1,10076.114643440393,3037.975580844002,20802.7642288208,9349.68588256836,104.79962035828687,10176.205680847168,19458.37209577999,8771.232337600759,3037.975580844002,41579.06260206859,14270.56495969654,58195.34338595536,58145.7108328797,65294.62874251497,63884.435928143714,65340.6895904541,8316.213088235294,48835.03004899292,25932.8,16828.73399715505,8928.172890582471,11588.698747958628,9545.0,2528.5,20628.0,9344.0,54.0,10157.0,20225.0,7499.0,2528.5,42405.0,13527.0,59186.0,59175.0,65336.0,64120.0,65535.0,6377.0,51944.0,25326.0,16298.0,8213.0,11360.0,1646.3654097480476,2176.3340683087195,1675.1154596895822,264.41927412649017,201.5964362133811,115.7774589397726,7937.756868115827,5919.906503887726,2176.3340683087195,15630.913202683007,7912.310577130209,5536.532657474291,5602.258748994757,192.41686736113047,1256.6976166870902,1390.3726684273029,6889.607789466802,13312.585494839033,2000.1321563740107,8596.852297731153,1900.5649263997932,1100.1146751447163,D1,N2,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,7,94.09183333,62.76266667,0.93233,3.964175,89.002,64.0495,0.93323,3.9241,12.0,58.16287937,25.09786303,0.021941403,0.535714486,7.0,1476,86.8028,1306,29,45.0345,5,1.1035,0.0079,0.0084,0.09573,131072,0.6095576882362366,260.49896240234375,0.36295631527900696,6.946252346038818,7.2927045822143555,244.3553466796875,0.7641780972480774,0.6385465860366821,237.32208251953125,0.3790836036205292,6.192814826965332,5.021883010864258,188.39089965820312,0.8034883737564087,0.26390817761421204,180.58566284179688,0.1626051813364029,4.9193806648254395,6.848174571990967,201.7535858154297,0.18350857496261597,1mgml,shg,roi1,10114.936794067313,3084.6733132681215,20806.11036682129,9350.413757324219,113.48474576271187,10176.121726989746,19620.52796588914,8875.73250564334,3084.6733132681215,41521.00570450656,14481.92124404314,58186.636394751855,58133.85464917285,65293.330290929836,63881.17581289219,65343.56179046631,8544.20025083612,48795.45453508272,25976.7802624073,17061.42751442187,8960.658185966913,11623.20387906446,9560.0,2641.0,20628.0,9344.0,54.0,10157.0,20713.5,7882.0,2641.0,42129.0,13936.0,59062.0,59047.0,65332.0,64089.0,65535.0,6434.5,51742.0,25350.0,16610.5,8233.0,11371.0,1698.1427653330018,2220.259982923371,1697.1151507426719,301.2165923037292,212.64978632821988,117.76237104820845,8055.878702714229,5962.6381175068345,2220.259982923371,15914.32551652585,8100.471325024995,5581.511264781321,5654.4429722569275,196.44471557118135,1269.6529005431578,1383.962825329795,7190.657618947405,13390.398433138189,2034.7954777461487,8818.2960956212,1945.030934748288,1119.578023385158,D1,N2,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,8,83.17859474,55.59521053,0.915994211,3.755468421,71.878,42.097,0.92896,3.7285,19.0,56.5358038,40.13620696,0.047787066,0.968088099,8.0,1613,79.2604,1387,20,69.35,10,1.0839,0.0126,0.0089,0.1363,131072,0.6234561204910278,248.2901153564453,0.35376355051994324,6.607527256011963,6.873944282531738,230.33905029296875,0.7749208807945251,0.6627309918403625,214.8361358642578,0.35609644651412964,5.689156532287598,4.932843208312988,187.54237365722656,0.8181595802307129,0.2525763213634491,175.10926818847656,0.1772080957889557,4.681913375854492,6.5559892654418945,190.47242736816406,0.17500832676887512,1mgml,shg,roi1,10042.276894567443,3045.6200242584628,20820.367385864258,9348.412704467773,110.51070167696382,10178.051399230957,19268.971330907487,8737.79975741537,3045.6200242584628,42672.55300887545,14168.58870878818,58507.18667707012,58455.33873012777,65303.11830683702,63952.48366331805,65321.70168304443,8628.13291298865,49608.667024285576,25883.69774700088,16717.437865255266,8881.03345362333,11692.409733736467,9479.0,2594.0,20628.0,9344.0,51.0,10157.0,20518.0,7759.0,2594.0,43478.0,13694.0,59467.0,59452.0,65345.0,64183.0,65535.0,6456.0,52640.0,25239.0,16471.0,8132.0,11459.0,1699.3000041016746,2293.668262985934,1762.1665108705963,170.95906012190878,202.41310639409647,120.91282725360195,8416.501133610709,6112.272005189823,2293.668262985934,16375.844088608064,8321.168000694737,5719.017100106439,5794.852593851882,202.37182355425182,1301.8791206402225,1438.965621819937,7169.9212675305125,13514.118180869134,2048.607200048726,9059.083434565078,1947.0933861017681,1155.0515909996088,D1,N2,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,9,81.2867,65.70715385,0.934031538,4.107946154,75.174,42.699,0.93546,4.3061,13.0,50.87807253,43.74352806,0.023443191,0.963227172,9.0,1758,72.558,1512,22,68.7273,4,1.0642,0.0133,0.0101,0.09373,131072,0.6308433413505554,239.1765899658203,0.38038456439971924,6.362410545349121,6.7352705001831055,234.5845489501953,0.7819511294364929,0.661963164806366,219.2923583984375,0.3926965296268463,5.736888408660889,5.04110860824585,193.4105682373047,0.8175048828125,0.24268826842308044,159.23191833496094,0.18191318213939667,4.322021961212158,6.18720817565918,189.12548828125,0.16524022817611694,1mgml,shg,roi1,10153.576649355646,3195.38236873188,20813.560577392578,9349.942329406738,115.18392780403954,10178.5131149292,19726.23902072372,9110.714270374745,3195.3824761086653,41652.59684554722,14602.090733383442,58130.1867666859,58070.24475860743,65288.82583189075,63865.251683015966,65329.559326171875,8078.089653707245,48719.45364493172,26019.964416233892,17154.227853538065,8999.36295441431,11707.64974033468,9558.0,2708.0,20628.0,9344.0,56.0,10157.0,20995.0,8105.0,2708.0,42173.5,14225.0,59052.0,59038.0,65332.0,64091.0,65535.0,6162.0,51768.5,25344.0,17083.0,8215.5,11454.0,1805.788139141248,2424.0997644331674,1696.8848058214553,303.7726371093451,221.2446608349198,123.29409185380811,8506.612743713988,6280.857615603761,2424.099905652523,16511.429127220727,8456.49512492926,5838.586600337632,5926.945513064749,212.4602474797146,1334.412841549858,1339.9654069810235,6724.5537022945055,13846.269419764183,2163.1732538877363,9141.036498105135,2068.789754772771,1204.9660985077628,D1,N2,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,10,87.98836,65.71486667,0.931970667,3.508826667,78.341,45.727,0.93872,3.4177,15.0,52.44384181,49.32147227,0.033686693,0.7336733,10.0,1545,82.8369,1307,26,50.2692,4,1.048,0.013,0.01,0.0486,131072,0.703880250453949,199.72039794921875,0.4374825358390808,5.085313320159912,5.537242889404297,216.2913055419922,0.8314638733863831,0.7611960768699646,158.94674682617188,0.5016046762466431,3.997957229614258,3.8058905601501465,165.266845703125,0.8755391836166382,0.21737001836299896,154.13864135742188,0.18403171002864838,3.9303762912750244,5.280071258544922,186.513427734375,0.13956105709075928,1mgml,shg,roi1,10556.414714833929,3670.292532285233,20796.336250305176,9348.047088623047,146.54496908375492,10176.142593383789,21567.943992139248,10359.142756878158,3670.292672655811,37156.87243615191,16536.666619876472,56704.48061400026,56621.1321953156,65237.67672356755,63538.85695381765,65367.19676208496,8295.579987646695,44983.86634908032,26514.395527325658,19173.14682762493,9439.738917559878,11626.669842530104,9978.0,3253.0,20628.0,9344.0,72.0,10157.0,22999.0,9630.5,3253.0,36012.0,16579.0,57208.0,57162.0,65272.0,63671.0,65535.0,6175.0,47173.0,25881.0,19692.5,8693.0,11334.0,1952.8211995961453,2500.0843578233184,1570.5907514656642,183.30546647101048,292.90450010031964,131.59745898734786,8198.918471669835,6289.654181814217,2500.08473861939,16154.98064518469,8532.28924159895,5778.14982057425,5888.14324296441,218.63360824913798,1330.07865652684,1248.2815496230844,7039.653501127067,14258.806138053797,2305.6738944507706,9085.138152803906,2203.0319203703675,1159.5878387186815,D1,N2,t,appliedMASKiso_1mgml_roi1_8bit.ome
