image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,n_HistWID,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth_HistWID,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,texture_mean_asmmean.,texture_mean_contrastmean.,texture_mean_correlationmean.,texture_mean_dissimilaritymean.,texture_mean_glcmmeanmean.,texture_mean_glcmvariancemean.,texture_mean_homogeneitymean.,texture_median_asmmean.,texture_median_contrastmean.,texture_median_correlationmean.,texture_median_dissimilaritymean.,texture_median_glcmmeanmean.,texture_median_glcmvariancemean.,texture_median_homogeneitymean.,texture_std_asmmean.,texture_std_contrastmean.,texture_std_correlationmean.,texture_std_dissimilaritymean.,texture_std_glcmmeanmean.,texture_std_glcmvariancemean.,texture_std_homogeneitymean.,concentration_denth,type_inf2h,roi_maxpr,texture3d_mean_autoc,texture3d_mean_contr,texture3d_mean_corrm,texture3d_mean_corrp,texture3d_mean_cprom,texture3d_mean_cshad,texture3d_mean_denth,texture3d_mean_dissi,texture3d_mean_dvarh,texture3d_mean_energ,texture3d_mean_entro,texture3d_mean_homom,texture3d_mean_homop,texture3d_mean_idmnc,texture3d_mean_indnc,texture3d_mean_inf1h,texture3d_mean_inf2h,texture3d_mean_maxpr,texture3d_mean_savgh,texture3d_mean_senth,texture3d_mean_sosvh,texture3d_mean_svarh,texture3d_median_autoc,texture3d_median_contr,texture3d_median_corrm,texture3d_median_corrp,texture3d_median_cprom,texture3d_median_cshad,texture3d_median_denth,texture3d_median_dissi,texture3d_median_dvarh,texture3d_median_energ,texture3d_median_entro,texture3d_median_homom,texture3d_median_homop,texture3d_median_idmnc,texture3d_median_indnc,texture3d_median_inf1h,texture3d_median_inf2h,texture3d_median_maxpr,texture3d_median_savgh,texture3d_median_senth,texture3d_median_sosvh,texture3d_median_svarh,texture3d_std_autoc,texture3d_std_contr,texture3d_std_corrm,texture3d_std_corrp,texture3d_std_cprom,texture3d_std_cshad,texture3d_std_denth,texture3d_std_dissi,texture3d_std_dvarh,texture3d_std_energ,texture3d_std_entro,texture3d_std_homom,texture3d_std_homop,texture3d_std_idmnc,texture3d_std_indnc,texture3d_std_inf1h,texture3d_std_inf2h,texture3d_std_maxpr,texture3d_std_savgh,texture3d_std_senth,texture3d_std_sosvh,texture3d_std_svarh,distance3d_maxpr,neighbor3d_corrp,bin_num3d_cprom
appliedMASKiso_flu_1mgml_roi1_8bit.ome,1,67.73730588,62.71588235,0.914933529,3.880352941,69.444,44.395,0.91865,3.6728,17.0,47.14118627,36.03834439,0.046700007,0.7472079,1.0,2449,51.521,2041,57,35.807,13,1.1355,0.0154,0.0713,0.1884,131072,0.5718469023704529,1512.60546875,0.3811401128768921,16.861454010009766,18.80333137512207,1377.791748046875,0.7421145439147949,0.551433801651001,1552.3660888671875,0.42177337408065796,17.11932945251465,17.495370864868164,1465.5196533203125,0.7503404021263123,0.26371675729751587,928.6878662109375,0.16528278589248657,10.465581893920898,14.549532890319824,904.4402465820312,0.1783740371465683,1mgml,flu,roi1,18156.29899443731,7181.662639920204,20614.302940368652,32484.964195251465,532.39654217001,23448.446044921875,29384.45350770254,17578.339465809597,7181.661309985592,27530.71052631579,24100.961210240497,52059.91121095422,51904.3066966196,65071.35141206675,62476.459242618745,65245.172103881836,12652.232091025195,36299.5931750107,34434.04771074026,27374.343788097085,17294.741335044928,17874.686456996147,18278.5,6796.0,20329.0,32483.0,162.0,23432.0,28688.0,17564.0,6796.0,26211.5,22905.0,51595.5,51521.0,65085.0,62401.0,65535.0,10019.0,35346.5,34743.5,26234.0,18086.5,18300.0,3690.7979545375415,3136.822003320206,2370.0315973873944,61.86553925711151,1410.1336182662003,269.9190322756094,5507.628074619728,5700.152101826225,3136.820910698707,11566.268435280896,8358.167761794677,4828.999600459635,4981.234993440267,217.86343943523514,1140.640453399526,1823.7756022813803,9736.080640275864,10845.553965676685,3470.1664592789984,8102.950426045848,4123.293667473001,3170.2589835004464,D1,N2,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,2,74.95613077,63.34969231,0.927725385,4.282923077,73.009,39.402,0.93416,4.4899,13.0,59.75645637,57.00510807,0.035414414,0.837649535,2.0,2483,50.7882,2072,63,32.8889,10,1.1374,0.016,0.0773,0.2058,131072,0.5699909329414368,1495.1143798828125,0.39228662848472595,16.754499435424805,18.614742279052734,1409.7501220703125,0.7443506121635437,0.5369768738746643,1595.3951416015625,0.4192255735397339,17.798158645629883,17.933868408203125,1537.706298828125,0.7409482002258301,0.25109463930130005,883.594482421875,0.1823042929172516,9.934587478637695,13.21251106262207,887.542236328125,0.16449704766273499,1mgml,flu,roi1,18107.400197335963,7319.691345469338,20732.59218597412,32485.64418029785,631.6119190481033,23455.629386901855,29840.021560052883,17906.391030204413,7319.690938675887,25971.018154908732,25321.71219363368,51740.2088801184,51580.20138135175,65060.03482979773,62403.51899358658,65163.97270965576,14235.385806007796,34911.99329057721,34384.86669955599,28599.603172988915,17221.213912185496,17574.716625555007,18185.0,6986.0,20329.0,32483.0,189.0,23432.0,28787.0,18004.0,6986.0,24446.0,24222.0,51231.0,51115.0,65070.0,62313.0,65535.0,11448.5,33944.0,34649.0,27592.0,17971.0,18030.0,3594.5988330105997,2939.5207177116386,2760.6181678569865,69.0005854308534,1626.5531464157038,324.40471259629373,5186.09097710833,5221.440975304355,2939.520291192634,11031.003760034191,8241.142676585283,4448.274355374327,4593.9179685024965,204.61431072251534,1053.628695945098,2194.641611934709,10742.35602767433,10435.392321165968,3379.7888512631894,8037.174774983479,4025.606873500465,2978.8241282409554,D1,N2,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,3,80.1425625,69.0845,0.9057725,3.673225,71.5825,49.742,0.91636,3.60335,16.0,58.08042262,49.00142506,0.046210994,0.647384291,3.0,2483,50.7882,2024,52,38.9231,6,1.1559,0.0114,0.0776,0.3025,131072,0.5617361068725586,1532.3458251953125,0.4177723526954651,17.06720542907715,19.59477996826172,1500.3358154296875,0.7384406328201294,0.536907970905304,1641.140380859375,0.4362594485282898,18.065832138061523,18.623865127563477,1560.380859375,0.7415887713432312,0.2540096640586853,892.9337768554688,0.16702398657798767,10.020849227905273,13.975598335266113,963.46923828125,0.16729578375816345,1mgml,flu,roi1,18330.775572369068,7420.268667201927,20780.945678710938,32485.818199157715,716.7884383781613,23458.58364868164,30158.277197912485,18019.37103572862,7420.267763950221,24935.55340473617,26040.24006423123,51560.26284759752,51386.88257836297,65049.5451508303,62357.424191805054,65126.1145401001,15007.263479710951,34165.960400904,34608.28397366611,29288.562826174228,17517.960400903998,17658.090498182177,18318.0,6980.5,20329.0,32483.0,208.0,23432.0,28806.0,17866.5,6980.5,23776.0,24839.0,51280.0,51164.0,65069.0,62322.0,65535.0,12161.0,33659.0,34770.0,28166.5,18015.0,18130.0,3432.9590936517125,3057.6860283932724,2920.0457159372863,79.39533310191105,1909.4200569904322,362.587043539099,5191.081856768892,5103.434392178571,3057.686229921396,10205.99112956415,8212.629651703672,4116.313805240484,4283.788939085026,206.4756021078869,991.3324155487472,2352.6362132081485,11043.614757215451,9885.979927789462,3199.785361944625,8026.0817342201835,3841.331159307717,2789.3272262194114,D1,N2,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,4,92.58478947,64.56905263,0.920207895,3.546994737,72.474,42.649,0.92731,3.3243,19.0,54.92307952,45.56400133,0.032068675,0.839712847,4.0,2550,49.4012,2116,54,39.1852,13,1.1654,0.0218,0.0881,0.2358,131072,0.5282473564147949,1602.6353759765625,0.4091888666152954,18.07465171813965,22.19732666015625,1532.651123046875,0.7080161571502686,0.5080805420875549,1671.5908203125,0.4460097849369049,18.619415283203125,18.92409896850586,1497.3056640625,0.7226189374923706,0.2811092734336853,953.1524658203125,0.1567012369632721,10.90353775024414,17.19061279296875,1000.5930786132812,0.1983109563589096,1mgml,flu,roi1,18064.309497013244,7408.535419806721,20871.298934936523,32485.789978027344,748.3258267576913,23463.886390686035,30075.726128202856,18016.137068889086,7408.534799184325,25119.08362912302,25893.140703963116,51592.37650419877,51422.709895247164,65051.5662713185,62365.99212189421,65051.90729522705,15375.992458072838,34140.85888667648,34345.237122327075,29253.18423619115,17172.44160678729,17381.512596312008,18139.0,6977.0,20329.0,32483.0,209.0,23432.0,28808.0,17963.0,6977.0,23858.0,24808.0,51215.0,51109.0,65069.0,62312.0,65535.0,12347.0,33523.0,34603.0,28314.0,17897.0,17872.0,3509.3548514667136,3112.142082641485,3190.165187922467,95.0475804291413,2190.784243894634,408.4227805323843,5238.742709796828,5175.283093116686,3112.1412794428666,10538.7426016349,8345.201828768324,4215.663780863868,4384.027055419765,210.71470841007593,1014.0470798091801,2583.9301952738065,11283.955459926994,10186.957224199095,3263.3486605953767,8188.216181071411,3951.1822894864563,2843.633610994228,D1,N2,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,5,97.94117647,67.14570588,0.936208235,3.885782353,83.418,60.63,0.93766,3.9044,17.0,60.95673614,26.00164229,0.024448993,0.826736693,5.0,2505,50.3245,2087,61,34.2131,7,1.1635,0.0202,0.0816,0.2097,131072,0.5389952063560486,1530.9210205078125,0.40511226654052734,17.346834182739258,22.47087287902832,1508.930908203125,0.7123817801475525,0.5623049736022949,1518.7535400390625,0.4587175250053406,16.821779251098633,16.40779685974121,1361.020263671875,0.7576504349708557,0.290166974067688,907.0133056640625,0.164667546749115,10.547401428222656,19.00752830505371,1046.2073974609375,0.20865559577941895,1mgml,flu,roi1,18304.62057035998,7487.665678209298,20827.380714416504,32486.12787628174,802.8512531088578,23463.917808532715,30236.796824182133,18091.342070021044,7487.6647216376505,25096.339317438054,26022.962789362922,51551.856474988315,51369.634502103785,65046.21318373072,62351.69770920991,65077.09168243408,15157.6927949327,34263.22496493689,34564.99887798037,29348.058063898985,17438.09471715755,17623.23440860215,18291.0,6995.5,20329.0,32483.0,211.0,23432.0,28811.0,17908.0,6995.5,24048.0,24728.0,51275.0,51161.0,65069.0,62322.0,65535.0,11996.0,33778.0,34751.0,28194.0,18005.0,18087.0,3682.470466650558,3236.1111146571634,3115.585396890618,63.88740754472639,2404.3014552321415,412.4181183671963,5300.264595790366,5247.428384599237,3236.1108739455244,10351.292126815924,8419.302557701209,4202.253991773716,4385.362649526327,217.44755069129906,1018.1383214834351,2545.5529499848453,11304.852167811325,10042.40419892096,3353.175447075111,8237.174560698835,4104.217118874694,2992.889942619628,D1,N2,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,6,80.59838889,57.62216667,0.91254,3.577977778,67.4595,46.836,0.919615,3.2604,18.0,57.46448654,30.64712575,0.029521195,0.909213493,6.0,2110,60.1199,1797,52,34.5577,11,1.1255,0.0121,0.0701,0.1364,131072,0.5690051913261414,1490.4923095703125,0.38614362478256226,16.691617965698242,20.58197784423828,1473.8897705078125,0.735591471195221,0.5979028344154358,1436.6845703125,0.4055060148239136,15.67497444152832,14.473482131958008,1222.6982421875,0.7801027297973633,0.27888837456703186,899.7149658203125,0.17397251725196838,10.378243446350098,18.257848739624023,1102.841064453125,0.1966414600610733,1mgml,flu,roi1,18643.280892759936,7517.539536431185,20774.041046142578,32485.52042388916,837.8578241100145,23460.179626464844,30417.883553288233,18036.634246423422,7517.5387601197735,24965.68622754491,26194.23200621049,51568.44594447469,51373.69929232444,65042.49504627109,62349.9850843767,65144.64340209961,15203.91671420422,34366.21567773544,34875.97082199238,29525.858711323057,17785.71660315732,17941.98551986935,18500.0,6927.0,20329.0,32483.0,227.0,23432.0,28993.0,17734.0,6927.0,24296.0,24886.0,51427.0,51316.0,65073.0,62349.0,65535.0,12474.0,34215.0,34951.0,28353.0,18149.0,18365.0,3879.956889148965,3325.7451731385977,2868.0653442445478,72.04247479212069,2529.83706591878,386.3980747948394,5284.811087528802,5247.8590313334025,3325.744571445232,9875.44018572378,8422.345577405738,4058.131838367671,4257.782299138022,220.4512895004644,994.2300908710862,2297.476420279016,10936.305711840767,9756.584715704787,3444.023508685893,8162.411331404508,4275.550099200045,3195.702513999548,D1,N2,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,7,87.64923529,55.87447059,0.924927647,3.987570588,84.289,52.146,0.9272,4.0259,17.0,54.78716433,25.42836708,0.043245273,0.762292419,7.0,2059,61.6586,1787,57,31.3509,12,1.1191,0.0091,0.0669,0.03719,131072,0.6100049018859863,1378.8990478515625,0.3755158483982086,15.34386920928955,17.82114601135254,1338.1962890625,0.7657042741775513,0.6390222311019897,1310.72119140625,0.3859907388687134,14.264581680297852,12.390229225158691,1068.370849609375,0.804791271686554,0.26356783509254456,883.1058959960938,0.17341643571853638,10.144449234008789,16.617778778076172,1060.9591064453125,0.18286901712417603,1mgml,flu,roi1,18807.632743867656,7447.763435867672,20765.625679016113,32485.73429107666,874.5461404526988,23460.665565490723,30287.285664538595,17900.19210679048,7447.762623331399,25203.58859098688,26041.31770168311,51649.46138049059,51458.62167712493,65046.36326297775,62369.705533371365,65143.36580657959,15506.794576433886,34679.23970336566,35023.597261836854,29407.905745792224,17963.23023388477,18133.595094124357,18557.0,6919.0,20329.0,32483.0,222.0,23432.0,28843.0,17628.0,6919.0,24596.0,24658.0,51520.0,51394.0,65072.0,62367.0,65535.0,12565.5,34605.0,34997.0,28135.0,18210.0,18483.0,3976.64163928585,3198.273830130778,2893.3540132432813,65.38635990534179,2607.532791974028,387.755597594353,5319.234268724146,5228.529842196986,3198.2736451006517,9904.934650727995,8554.98727829558,4071.4495966901936,4254.002844038609,212.8073491890583,988.8738315686018,2381.2262301541473,11409.474473807122,9717.518040677553,3490.4876074965796,8350.519161422786,4316.927557793185,3260.2360287831643,D1,N2,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,8,88.548925,57.924375,0.9295575,3.901325,89.2045,47.264,0.940735,3.83385,16.0,59.37067554,33.8215855,0.041987953,1.064372918,8.0,2474,50.9802,2091,66,31.6818,11,1.1483,0.0105,0.0782,0.0408,131072,0.6239448189735413,1275.6195068359375,0.3652220368385315,14.378748893737793,16.48626708984375,1219.7120361328125,0.7770063281059265,0.6631903052330017,1163.030517578125,0.3622616231441498,12.92228889465332,11.861687660217285,1023.6016235351562,0.8201189637184143,0.2522353529930115,809.7385864257812,0.1877683848142624,9.36075210571289,15.461206436157227,949.3736572265625,0.17375388741493225,1mgml,flu,roi1,18322.18365356481,7235.31209807074,20832.08422088623,32485.985816955566,805.9331792604502,23464.15712738037,29749.775020096462,17608.032053858522,7235.311193729904,26392.4362625573,25287.10158762058,51986.10826099678,51822.29015897786,65065.62859650834,62455.96576611723,65083.1749420166,15222.999690498298,35502.31834584999,34549.046522968885,28761.05777733119,17303.75148736955,17766.3002048181,18318.0,6900.5,20329.0,32483.0,205.0,23432.0,28794.0,17656.5,6900.5,25132.0,24064.0,51518.0,51385.0,65077.0,62376.0,65535.0,11822.0,34598.0,34773.0,27614.0,18020.0,18156.0,4079.2725919540494,3026.0244258143953,3105.098961283923,89.71136240674292,2492.755685100992,409.98497220817217,5364.852382698905,5307.744993050391,3026.024118668549,11087.4697391506,8521.894274558792,4467.11037384925,4611.9561628533775,208.45463674236598,1059.1388714554776,2565.4133894648176,11752.79307701412,10469.53014371276,3670.1211261139665,8394.398691200853,4472.3369979498675,3362.7858284520003,D1,N2,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,9,73.32339286,70.95042857,0.929759286,4.046571429,66.0435,47.372,0.938975,4.2574,14.0,47.84724966,54.15801528,0.02700396,0.946856368,9.0,2658,47.3126,2226,56,39.75,10,1.1601,0.0149,0.0793,0.04085,131072,0.6312187910079956,1237.208984375,0.39179471135139465,13.909839630126953,16.183765411376953,1232.6844482421875,0.7835348844528198,0.6623696088790894,1163.967529296875,0.40546712279319763,12.940683364868164,12.095304489135742,1052.145751953125,0.8194568753242493,0.24244610965251923,762.6889038085938,0.18925169110298157,8.792194366455078,14.6419677734375,930.8192749023438,0.16459444165229797,1mgml,flu,roi1,18700.456914791306,7040.799330445057,20839.405158996582,32486.453742980957,741.3245372193777,23461.438934326172,29402.448897203623,17131.694367861364,7040.798247341473,27082.231102135025,24750.364907443876,52271.86305058665,52110.07078284286,65075.36747451433,62520.55828043855,65084.06162261963,14650.434060228452,36460.61146374303,34923.96922485093,28246.23434423001,17677.01038661281,18256.969705712636,18727.5,6698.0,20329.0,32483.0,199.0,23432.0,28734.0,17087.0,6698.0,26157.5,23478.0,51985.0,51882.0,65090.0,62479.0,65535.0,11388.5,35835.0,35159.5,27078.0,18269.0,18808.5,3941.6864880762064,3073.252698138624,3066.658649426538,68.47161486197581,2262.8925577840787,379.53561892843175,5373.816040413274,5545.744668096587,3073.250951572929,10732.661279110054,8480.306234053194,4504.4701064701385,4651.0156759194,208.45577849230315,1067.5040258378606,2545.888605803792,11515.21529727392,10345.610770853304,3551.1194065586724,8328.971332812132,4356.546113288253,3331.8949491901258,D1,N2,t
appliedMASKiso_flu_1mgml_roi1_8bit.ome,10,91.24486667,63.36125,0.925514167,3.547808333,84.1705,42.8295,0.92488,3.48125,12.0,45.75026895,40.71912419,0.033719831,0.829800719,10.0,2016,63.0164,1666,48,34.7083,7,1.0931,0.0109,0.0577,0.01451,131072,0.7040688395500183,1026.97705078125,0.44815659523010254,11.05026626586914,13.254364013671875,1135.5418701171875,0.8325242400169373,0.7612850666046143,857.5264282226562,0.5206640958786011,9.043606758117676,9.131647109985352,887.4544067382812,0.8762873411178589,0.21720363199710846,724.3016357421875,0.19010837376117706,7.955015659332275,12.406903266906738,913.5037841796875,0.13884331285953522,1mgml,flu,roi1,20283.869789599048,6745.687125549194,20722.957153320312,32485.273582458496,811.6684862202104,23454.795753479004,29306.561842630806,16007.640926640926,6745.686459858874,27451.80958052137,24965.761816003196,53038.54664549424,52842.59296016938,65087.966388778616,62676.69749900754,65197.369537353516,15196.594933260692,37959.07542675665,36448.214767764985,28230.213020902676,19564.74381368268,19939.24956993516,19780.0,5923.0,20329.0,32483.0,230.0,23432.0,28485.0,14972.0,5923.0,27878.0,23257.0,53571.0,53472.0,65139.0,62833.0,65535.0,12488.5,39200.0,36124.0,26702.0,18964.0,20086.0,3265.421246751178,3382.1407691330746,2646.860912805423,37.07241257538278,2326.254436693862,340.39816416186403,5700.421931995252,5747.328354649679,3382.1404620832473,9674.327428002334,8757.018453931007,4132.349298554314,4355.628941432684,219.8764709863624,1017.3161463647655,2189.196262048298,10950.06274734109,9778.57007086449,2769.596323082493,8555.676224876304,3430.513430328285,2540.977109149561,D1,N2,t
